Local time,Ask,Bid
22.06.2016 08:02:04.592 GMT+0100,6257.707,6256.12
22.06.2016 08:02:04.642 GMT+0100,6257.63,6256.63
22.06.2016 08:02:05.025 GMT+0100,6257.67,6256.67
22.06.2016 08:02:05.401 GMT+0100,6257.53,6256.53
22.06.2016 08:02:05.897 GMT+0100,6257.963,6256.59
22.06.2016 08:02:06.441 GMT+0100,6258.733,6257.2
22.06.2016 08:02:07.162 GMT+0100,6259.823,6258.47
22.06.2016 08:02:07.910 GMT+0100,6259.47,6259
22.06.2016 08:02:08.240 GMT+0100,6259.47,6258.5
22.06.2016 08:02:08.620 GMT+0100,6259.47,6258.5
22.06.2016 08:02:08.670 GMT+0100,6259.47,6259
22.06.2016 08:02:08.855 GMT+0100,6259.47,6258.8
22.06.2016 08:02:09.156 GMT+0100,6259.47,6259
22.06.2016 08:02:10.015 GMT+0100,6259.47,6259
22.06.2016 08:02:10.170 GMT+0100,6259.47,6258.8
22.06.2016 08:02:10.971 GMT+0100,6259.47,6258.5
22.06.2016 08:02:11.022 GMT+0100,6259.47,6258.5
22.06.2016 08:02:11.573 GMT+0100,6259.47,6258.8
22.06.2016 08:02:11.674 GMT+0100,6259.47,6258.5
22.06.2016 08:02:12.021 GMT+0100,6259.47,6258.5
22.06.2016 08:02:12.174 GMT+0100,6259.47,6258.47
